system:index,AOD,AQI,CO,Latitude,Longitude,PM25,humidity,name,temperature,.geo
00000000000000000011_0,485.0,62.534077,0.046928183745627065,31.544378193345093,75.68781514207649,37.520447,26.518970563885947,Point_17,31.062122307883385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.68755426349028,31.544341201856998]}"
00000000000000000012_0,1200.0,63.57991,0.04904948772523092,24.569060719422364,90.27308397594172,38.147945,69.28212963548015,Point_18,29.026610019471946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[90.27619447759132,24.57341459708951]}"
00000000000000000013_0,1222.0,72.28232,0.05402459274010989,25.994409841915783,89.7551655818902,43.36939,67.13706216979237,Point_19,28.33100590705874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.75517161280199,25.992752745998356]}"
00000000000000000015_0,639.0,44.598545,0.03920835007432531,28.472316256008217,70.33048835555228,26.759127,20.437518261521685,Point_21,34.14273279507955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.33359517013794,28.472102930168234]}"
00000000000000000016_0,260.0,24.871109,0.03226370389202291,33.43612952725469,74.20523638008822,14.922666,35.460182271094155,Point_22,22.94941411018374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.20533404469307,33.43978645134919]}"
00000000000000000017_0,762.0,44.79316,0.0533101036975092,25.83418211311284,92.8067055748696,26.875896,79.49446365536089,Point_23,25.976656134923303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.80944357880837,25.831055994856843]}"
00000000000000000018_0,415.0,94.84061,0.04693651622987993,30.49201309194222,75.82482459075459,56.904366,24.83194024708078,Point_24,31.96247563362124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.82230155610821,30.49331231943716]}"
00000000000000000019_0,365.0,25.326517,0.037220248238668145,23.705082392529967,68.23893881053728,15.19591,68.32650018041684,Point_25,29.951468960444174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.24052055813945,23.702048771493576]}"
0000000000000000001d_0,478.0,35.34653,0.038687294770898786,22.61351786129212,75.37078633191756,21.207918,22.76134652639676,Point_29,32.82803552945455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.37314391404846,22.615087277708955]}"
0000000000000000001e_0,360.0,19.529886,0.03786040807286606,18.354736330938444,94.52581964069594,11.717932,70.73051270378171,Point_30,28.796070061789635,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.52522577147666,18.35707283098242]}"
0000000000000000001f_0,555.0,35.97592,0.045710813092902744,25.952357268129067,95.63064535156141,21.585552,67.4791802996276,Point_31,24.69532136387295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.63015357094366,25.956820134633574]}"
00000000000000000020_0,512.0,42.750862,0.04125828015672238,21.264945025027245,76.04763408008178,25.650518,27.68990832104685,Point_32,33.884815178977135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.0468803771381,21.267614351529673]}"
00000000000000000022_0,457.0,33.5558,0.03958036951437798,23.292638540020796,75.1611639635835,20.13348,22.907746295374256,Point_34,32.8975681357914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.15754824585977,23.288823740798595]}"
00000000000000000023_0,530.0,28.424038,0.04278981992904256,20.17374651947251,95.07470860616002,17.054422,44.64478172499884,Point_35,32.6547465483348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.07319809478956,20.171669704903856]}"
00000000000000000024_0,283.0,39.825695,0.038185245722236,26.526234337885278,73.37834658658126,23.895416,15.368283115939061,Point_36,34.50567157003616,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.37888398330311,26.52275876362887]}"
00000000000000000026_0,815.0,19.53188,0.034681373826387175,10.543958588321336,76.73032446578202,11.719128,82.47506294414848,Point_38,25.099296108881674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.72959999306893,10.541729859142585]}"
00000000000000000028_0,570.0,16.66778,0.0336416473093992,9.59170024606669,80.4076736769641,10.000668,75.16620327320996,Point_40,29.69141850471499,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.40370950511777,9.589515657975893]}"
00000000000000000029_0,568.0,55.99575,0.041797666339103,29.209686049428974,71.10976783941852,33.59745,19.277384014190297,Point_41,34.236258999506674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.10614631448072,29.208721463146244]}"
0000000000000000002b_0,199.0,3.5232317,0.017563228375006245,32.87476782953657,88.11640221769031,2.113939,46.61298439271046,Point_43,-0.4740817122989256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.12023779570447,32.87384782235389]}"
0000000000000000002c_0,327.0,20.025965,0.027267531332116655,31.803291485548478,69.22013207740447,12.015579,30.227567339326413,Point_44,21.792404561572653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.21968421782974,31.80485263425166]}"
0000000000000000002e_0,735.0,30.403313,0.03690468337082205,12.407066676090867,79.27753589269749,18.241987,66.16995565435023,Point_46,30.19380565749276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.28081539996838,12.41022565011119]}"
0000000000000000002f_0,549.0,38.936604,0.03695395680810675,16.335919292356188,73.98072785852774,23.361961,66.18727666812279,Point_47,27.211773729324364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9807552236632,16.3358634417135]}"
00000000000000000032_0,434.0,361.4284,0.02624637804860574,36.938518223716926,83.58694153980184,199.85693,16.676597619888913,Point_50,17.190536885791403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58374561090088,36.93423290657413]}"
